,Rk,Player,Squad,Pos,Age,Min,90s,DefensivePoint,AttackingPoint,Total,Rank
384,385,Michael Olise,Crystal Palace,"FW,MF",0.95,0.8,30.5,0.5,0.91,3.16,1
76,77,Moisés Caicedo,Brighton,MF,0.95,0.94,34.9,0.78,0.32,2.99,2
428,429,Declan Rice,West Ham,MF,0.74,0.98,36.4,0.91,0.35,2.9800000000000004,3
421,422,Jacob Ramsey,Aston Villa,"MF,FW",0.91,0.73,29.3,0.64,0.57,2.85,4
550,551,Joe Willock,Newcastle Utd,MF,0.84,0.7,28.4,0.57,0.73,2.84,5
245,246,Reece James,Chelsea,"DF,MF",0.84,0.11,13.8,0.87,0.96,2.78,6
341,342,Dwight McNeil,Everton,"FW,MF",0.84,0.67,27.8,0.74,0.52,2.77,7
251,252,Joelinton,Newcastle Utd,"MF,FW",0.52,0.74,29.6,0.88,0.61,2.75,8
145,146,Cheick Doucouré,Crystal Palace,MF,0.84,0.82,30.8,0.94,0.13,2.7299999999999995,9
189,190,Conor Gallagher,Chelsea,MF,0.84,0.31,18.0,0.8,0.74,2.69,10
221,222,Kai Havertz,Chelsea,"FW,MF",0.74,0.71,28.5,0.48,0.75,2.6799999999999997,11
220,221,Jack Harrison,Leeds United,"FW,MF",0.52,0.77,30.1,0.44,0.89,2.62,12
373,374,Rúben Neves,Wolves,MF,0.52,0.91,33.5,0.96,0.21,2.6,13
172,173,Bruno Fernandes,Manchester Utd,"MF,FW",0.29,0.98,36.8,0.46,0.87,2.6,14
386,387,Amadou Onana,Everton,MF,0.95,0.66,27.6,0.83,0.16,2.5999999999999996,15
133,134,Kiernan Dewsbury-Hall,Leicester City,MF,0.74,0.57,25.6,0.7,0.54,2.55,16
568,569,Martin Ødegaard,Arsenal,MF,0.74,0.93,34.7,0.02,0.85,2.54,17
158,159,Harvey Elliott,Liverpool,"MF,FW",0.98,0.31,17.9,0.29,0.94,2.52,18
236,237,Pierre Højbjerg,Tottenham,MF,0.4,0.94,34.8,0.79,0.39,2.52,19
65,66,Jarrod Bowen,West Ham,"FW,MF",0.52,0.95,35.9,0.43,0.61,2.51,20
197,198,Morgan Gibbs-White,Nott'ham Forest,"MF,FW",0.84,0.9,33.0,0.15,0.58,2.4699999999999998,21
242,243,Alex Iwobi,Everton,"MF,FW",0.4,1.0,37.5,0.46,0.56,2.42,23
438,439,Rodri,Manchester City,MF,0.4,0.87,32.3,0.68,0.51,2.46,22
355,356,Kaoru Mitoma,Brighton,"FW,MF",0.52,0.59,25.8,0.31,0.99,2.41,24
47,48,Harvey Barnes,Leicester City,"FW,MF",0.64,0.78,30.1,0.12,0.87,2.41,25
214,215,Bruno Guimarães,Newcastle Utd,MF,0.64,0.8,30.3,0.58,0.39,2.41,26
416,417,Pedro Porro,Tottenham,"DF,MF",0.84,0.07,12.6,0.72,0.78,2.41,27
377,378,Matheus Nunes,Wolves,MF,0.74,0.64,27.4,0.54,0.48,2.4000000000000004,28
506,507,Marcus Tavernier,Bournemouth,"MF,FW",0.74,0.37,19.4,0.51,0.77,2.3899999999999997,29
199,200,Degnand Gnonto,Leeds United,"FW,MF",1.0,0.18,15.0,0.27,0.94,2.3899999999999997,30
392,393,Dango Ouattara,Bournemouth,"MF,FW",0.95,0.1,13.8,0.72,0.62,2.3899999999999997,31
484,485,Dominic Solanke,Bournemouth,"FW,MF",0.64,0.84,31.8,0.39,0.5,2.37,32
291,292,Roméo Lavia,Southampton,MF,1.0,0.56,24.7,0.71,0.09,2.3600000000000003,33
61,62,Philip Billing,Bournemouth,"MF,FW",0.4,0.81,30.7,0.87,0.28,2.3600000000000003,34
309,310,Douglas Luiz,Aston Villa,MF,0.64,0.88,32.5,0.59,0.24,2.35,35
3,4,Tyler Adams,Leeds United,MF,0.74,0.52,24.0,0.92,0.17,2.3499999999999996,36
459,460,Jadon Sancho,Manchester Utd,"FW,MF",0.84,0.35,18.7,0.16,0.97,2.32,37
253,254,Brennan Johnson,Nott'ham Forest,"FW,MF",0.91,0.89,32.6,0.09,0.43,2.32,38
283,284,Dejan Kulusevski,Tottenham,"MF,FW",0.84,0.47,23.0,0.11,0.88,2.3,39
95,96,Ben Chilwell,Chelsea,"DF,MF",0.52,0.21,15.6,0.76,0.8,2.29,40
23,24,Jaidon Anthony,Bournemouth,"MF,FW",0.84,0.13,14.0,0.75,0.57,2.29,41
296,297,Jefferson Lerma,Bournemouth,MF,0.29,0.97,36.1,0.9,0.12,2.2800000000000002,42
312,313,Alexis Mac Allister,Brighton,MF,0.74,0.86,32.1,0.21,0.46,2.27,43
0,1,Brenden Aaronson,Leeds United,"MF,FW",0.91,0.61,26.4,0.2,0.55,2.27,44
400,401,Nathan Patterson,Everton,"DF,MF",0.95,0.15,14.2,0.97,0.2,2.2699999999999996,45
360,361,Mason Mount,Chelsea,"MF,FW",0.74,0.33,18.3,0.41,0.76,2.24,46
398,399,Lucas Paquetá,West Ham,MF,0.64,0.51,23.9,0.63,0.43,2.21,47
558,559,Granit Xhaka,Arsenal,MF,0.18,0.91,33.3,0.42,0.66,2.1700000000000004,48
486,487,Tomáš Souček,West Ham,MF,0.29,0.83,31.3,0.95,0.1,2.17,49
255,256,Curtis Jones,Liverpool,MF,0.91,0.04,11.5,0.37,0.84,2.16,50
406,407,Ivan Perišić,Tottenham,"DF,MF",0.02,0.5,23.4,0.81,0.83,2.16,51
173,174,Enzo Fernández,Chelsea,MF,0.91,0.29,17.2,0.47,0.49,2.16,52
165,166,Eberechi Eze,Crystal Palace,"MF,FW",0.64,0.73,29.3,0.17,0.6,2.14,53
540,541,James Ward-Prowse,Southampton,MF,0.29,0.99,37.5,0.62,0.22,2.1199999999999997,54
55,56,Saïd Benrahma,West Ham,"FW,MF",0.4,0.48,23.0,0.24,0.98,2.1,56
510,511,Youri Tielemans,Leicester City,MF,0.52,0.6,26.0,0.55,0.44,2.11,55
207,208,Demarai Gray,Everton,"FW,MF",0.4,0.68,27.9,0.32,0.69,2.09,57
395,396,João Palhinha,Fulham,MF,0.29,0.92,34.5,0.85,0.02,2.08,58
210,211,Pascal Groß,Brighton,"MF,DF",0.07,0.96,36.0,0.23,0.79,2.05,60
307,308,Sean Longstaff,Newcastle Utd,MF,0.64,0.69,28.0,0.36,0.38,2.07,59
313,314,James Maddison,Leicester City,"MF,FW",0.52,0.65,27.6,0.06,0.8,2.0300000000000002,61
318,319,Ainsley Maitland-Niles,Southampton,"DF,MF",0.64,0.2,15.6,1.0,0.19,2.03,62
487,488,Boubakary Soumaré,Leicester City,MF,0.74,0.32,18.1,0.83,0.13,2.0199999999999996,63
42,43,Leon Bailey,Aston Villa,"FW,MF",0.64,0.46,21.9,0.08,0.83,2.0100000000000002,64
426,427,Harrison Reed,Fulham,MF,0.29,0.85,31.8,0.56,0.3,2.0,65
264,265,Boubacar Kamara,Aston Villa,MF,0.84,0.39,19.7,0.69,0.08,2.0,66
38,39,Jordan Ayew,Crystal Palace,"FW,MF",0.12,0.79,30.2,0.49,0.59,1.9900000000000002,67
160,161,Mohamed Elyounoussi,Southampton,"MF,FW",0.29,0.54,24.1,0.8,0.35,1.98,68
340,341,Weston McKennie,Leeds United,MF,0.74,0.22,16.0,0.76,0.25,1.97,70
248,249,Mathias Jensen,Brentford,MF,0.4,0.83,31.1,0.45,0.29,1.9700000000000002,69
306,307,Ruben Loftus-Cheek,Chelsea,"MF,DF",0.4,0.28,17.1,0.6,0.69,1.9699999999999998,71
559,560,Ryan Yates,Nott'ham Forest,MF,0.64,0.42,20.4,0.84,0.06,1.96,72
562,563,Wilfried Zaha,Crystal Palace,"FW,MF",0.18,0.57,25.4,0.28,0.91,1.94,73
475,476,Bernardo Silva,Manchester City,"MF,FW",0.29,0.54,24.5,0.19,0.92,1.94,74
122,123,Josh Dasilva,Brentford,MF,0.74,0.19,15.4,0.33,0.67,1.93,75
